gene,correlation,pvalue,abs_corr
AC005332.7,-0.00803630227096149,0.10125251170968849,0.00803630227096149
ULBP2,-0.008034830485142528,0.10131505564351644,0.008034830485142528
NPIPB6,0.008034128263700403,0.1013449075728869,0.008034128263700403
AC092650.1,-0.008031903388468997,0.1014395348484659,0.008031903388468997
ZNF788P,0.008031461940911354,0.10145831863682242,0.008031461940911354
AC011611.2,0.008030591720908356,0.10149535499358671,0.008030591720908356
POU6F2,0.008030165604399765,0.10151349433710002,0.008030165604399765
IL34,0.008030027961168713,0.10151935422009954,0.008030027961168713
GOLGA6D,0.008024943847422517,0.10173598889088423,0.008024943847422517
RGS5.1,0.008023460855245176,0.10179924864317888,0.008023460855245176
PTPN12,-0.008023126366940768,0.1018135211825236,0.008023126366940768
SPAG9,0.008022339158798178,0.10184711745977144,0.008022339158798178
AC048382.6,0.008021370266586808,0.10188847971987568,0.008021370266586808
PRM1,0.00802036492470217,0.10193141216031412,0.00802036492470217
LINC02080,0.008020272573777444,0.10193535666566998,0.008020272573777444
AL109914.1,0.008019601799665764,0.10196401050775689,0.008019601799665764
AC018647.1,0.008018322134762423,0.10201869246820423,0.008018322134762423
LINC00470,0.008018162971242637,0.1020254953908893,0.008018162971242637
HMX1,0.008017760573687137,0.1020426961650767,0.008017760573687137
AL162457.1,0.008017487551687082,0.10205436800187373,0.008017487551687082
LY6G5B,0.00801640825213469,0.10210051903909072,0.00801640825213469
STX1B,0.008014081777807616,0.10220005597619819,0.008014081777807616
AP001330.1,0.008013720558613532,0.1022155174659998,0.008013720558613532
AC016205.1,-0.008012508716281206,0.1022674023048852,0.008012508716281206
AL161909.2,0.008012050673058078,0.10228701881020989,0.008012050673058078
AC025287.2,0.008011936655008918,0.10229190229875759,0.008011936655008918
TIPARP-AS1,0.008011912553491811,0.10229293461067551,0.008011912553491811
SYNGR4,0.008007257749074428,0.10249246382480194,0.008007257749074428
TJP3,0.008007139428180725,0.10249753970833746,0.008007139428180725
AL157400.2,-0.00800682225046117,0.10251114739714576,0.00800682225046117
ACOXL,-0.008005848284323661,0.10255294187534751,0.008005848284323661
LINC00589,0.008004598613884297,0.10260658712894367,0.008004598613884297
AL390208.1,0.007999074536334774,0.10284398956541158,0.007999074536334774
AC138207.1,0.00799787367145398,0.10289565562534815,0.00799787367145398
XKR5,0.00799748075362298,0.1029125650194243,0.00799748075362298
LYVE1,0.007997206015783846,0.10292438979761982,0.007997206015783846
NET1,0.007995288689785543,0.10300694202310721,0.007995288689785543
SLC22A7,0.007994797934186702,0.10302808041535073,0.007994797934186702
APOC3,0.007994451495968306,0.10304300467949504,0.007994451495968306
AC239868.2,-0.007994179691317624,0.10305471499633935,0.007994179691317624
AL157786.1,0.007989247416899164,0.10326739891202176,0.007989247416899164
MYO15A,0.007988931412418165,0.10328103718303527,0.007988931412418165
ANXA13,0.007985849487506287,0.10341412345251064,0.007985849487506287
AL356272.1,0.007985652789774072,0.10342262204479967,0.007985652789774072
AC010907.2,0.007985130745866636,0.10344518035183689,0.007985130745866636
AC104521.1,0.00798286667194615,0.1035430596775336,0.00798286667194615
AC083973.1,0.00797935499753576,0.10369502026306252,0.00797935499753576
HTN1,0.00797903162336883,0.1037090225310751,0.00797903162336883
AC106798.1,0.007977966332097353,0.10375516082031694,0.007977966332097353
HIST3H2BB,0.007977134146499193,0.10379121453471343,0.007977134146499193
AL590004.4,0.007976474924317283,0.10381978182612081,0.007976474924317283
FSIP1,0.007974606606032185,0.10390077905680595,0.007974606606032185
FADS1,0.007973947496696672,0.10392936541152042,0.007973947496696672
CATSPER3,0.007973720066035906,0.10393923079940713,0.007973720066035906
AF111167.2,0.00797202121019244,0.1040129465647352,0.00797202121019244
AC013565.1,0.00797178764272278,0.10402308463559647,0.00797178764272278
AL606760.1,-0.007971597733728245,0.10403132827498751,0.007971597733728245
PANO1,0.00797146678940081,0.1040370126567502,0.00797146678940081
LINC00483,-0.007970805174241416,0.10406573759123018,0.007970805174241416
AC136475.8,0.007968575705977275,0.10416257942036623,0.007968575705977275
AL357497.1,0.007968197308928957,0.10417902302743746,0.007968197308928957
